J1342+2822A  	*  	2.54474		 *		26.5		*  	*  	*  	* 
J1342+2822B 	0.14 	2.389		 +1.858 	26.148(2) 	1.41735 1.8756 	0.0 	0.21
J1342+2822C 	* 	2.166		 *		26.5		* 	* 	* 	*
J1342+2822D 	0.23 	5.443		 *		26.34(2) 	128.752 38.524 	0.0753 	0.21
J1342+2822E 	* 	5.47 		 * 		26.541		7.0968 	5.3411 	0.0 	0.23
J1342+2822F 	* 	4.40 		 * 		26.467		2.9920 	2.2259 	0 	0.17
B1516+02A	0.50	5.55359		+4.122(6)	30.08(5)	i	i	i	i
B1516+02B	0.30	7.94694		-0.33(3)	29.47(11)	6.85845 3.04859	0.13784	0.13 (iii)
J1518+0204C	0.125	2.48393	        +2.6055(12)	29.3146	        0.08683	0.05732 0.0	0.038
J1518+0204D	*	2.988		 *		29.3		1.22	1.6	0.0	0.2
J1518+0204E	*	3.182		 *		29.3		1.10	1.2	0.0	0.18
J1518+0204F	*	2.65		 *		29.4		1.6095	1.953	0.0	0.228
J1518+0204G	*	2.75		 *		29.4		*	*	*	*
J1546-3747A 	* 	2.60567 	 * 		92.173 		1.34671 1.3833 	0.0 	0.18 
B1620-26	0.767	11.0758		-5.4693(3)	62.8633(5)	191.443	64.8095 0.02532	0.33
B1639+36A       0.350   10.37750        -0.73(3)        30.4386(5)      i       i       i       i
B1639+36B       1.626   3.52807         -0.01(1)        29.4456(6)      1.25911 1.38854 0.000002 0.186         
J1641+3627C     0.548   3.72208         0.123(6)        30.1320(2)      i       i       i       i        
J1641+3627D     0.262   3.11829         -2.36(1)        30.451(3)       0.59144 0.92432 0.0005730(6) 0.208
J1641+3627E     0.158   2.48698         1.75(2)         30.54(2)        0.11262 0.035869(1) 0.00012(5)  0.022   
J1641+3627F     0.956   3.00350         1.40(6)         30.366(4)       1.37800 1.251702(3) 0.0         0.157     
J1647-0156A 	* 	2.36 		* 		42.5 		* 	* 	* 	*
J1647-0156B 	* 	2.76 		* 		42.7 		* 	* 	* 	*
J1657-0406A 	* 	4.73 		* 		43.9 		* 	* 	* 	*
