111;J0211-8159;02:11:59.0;-81:59:36.2;
112;J0212+5222;02:12:52.1;+52:22:49.5;
113;J0214+5222;02:14:55.2;+52:22:40.9;
114;J0215+6218;02:15:56.6;+62:18:33.3;
115;J0218+4232;02:18:06.3;+42:32:17.3;
116;J0220+3626;02:20:42.1;+36:26:55.7;
117;J0229+20;02:29:03;+20:58;
118;J0231+7026;02:31:13.9;+70:26:33.8;
119;J0241+16;02:41:46;+16:04;
120;J0242+62;02:42:35;+62:56:50;
121;J0243+6027;02:43;+60:27;
122;J0244+14;02:44:51;+14:27;
123;J0248+4230;02:48:31.0;+42:30:20.4;
124;J0248+6021;02:48:18.6;+60:21:34.7;
125;J0250+5854;02:50:17.7;+58:54:01.3;
126;J0251+2606;02:51:02.5;+26:06:09.9;
127;J0255-5304;02:55:56.2;-53:04:21.2;
128;J0301+35;03:01;+35;
129;J0302+2252;03:02:31.9;+22:52:12.1;
130;J0304+1932;03:04:33.1;+19:32:51.4;
131;J0305+11;03:05:06;+11:23;
132;J0307+7443;03:07:55;+74:43:12;
133;J0312-0921;03:12:06.2;-9:21:56;
134;J0317+13;03:17:54;+13:29;
135;J0318+0253;03:18:15.5;+02:53:01.4;
136;J0323+3944;03:23:26.6;+39:44:52.4;
137;J0324+5239;03:24:55.4;+52:39:31.3;
138;J0325+6744;03:25:05.1;+67:44:59.3;
139;J0329+1654;03:29:08.5;+16:54:02;
140;J0332+5434;03:32:59.4;+54:34:43.3;
141;J0335+4555;03:35:16.6;+45:55:53.4;
142;J0335+6623;03:35:57.0;+66:23:23.6;
143;J0337+1715;03:37:43.8;+17:15:14.8;
144;J0337+79;03:37:22;+79:01:44;
145;J0340+4130;03:40:23.2;+41:30:45.2;
146;J0341+5711;03:41;+57:11;
147;J0343+06;03:43;+06;
148;J0343-3000;03:43:27.9;-30:00:27.5;
149;J0343+5312;03:43:12.9;+53:12:53.4;
150;J0344-0901;03:44:37.4;-09:01:02.6;
151;J0348+0432;03:48:43.6;+04:32:11.4;
152;J0349+2340;03:49:57.3;+23:40:53;
153;J0355+28;03:55;+28;
154;J0357-05;03:57:56;-05:09:44;
155;J0357+3205;03:57:52.5;+32:05:25;
156;J0357+5236;03:57:44.8;+52:36:57.4;
157;J0358+4155;03:58:03.1;+41:55:19.0;
158;J0358+5413;03:58:53.7;+54:13:13.7;
159;J0358+6627;03:58:37.9;+66:27:46.5;
160;J0359+5414;03:59:26.0;+54:14:55.7;
161;J0401-7608;04:01:51.7;-76:08:12.9;
162;J0402+4825;04:02:40.6;+48:25:57.5;
163;J0405+3347;04:05;+33;
164;J0406+30;04:06;+30;
165;J0406+6138;04:06:30.0;+61:38:41.4;
166;J0407+1607;04:07:54.9;+16:07:16.4;
167;J0408+551;04:08;+55;
168;J0408+552;04:08;+55;
169;J0410-31;04:10:39;-31:07:29;
170;J0413+58;04:13;+58;
171;J0414+31;04:14;+31;
172;J0415+6954;04:15:55.6;+69:54:09.8;
173;J0417+35;04:17:43;+35:45;
174;J0417+61;04:17;+61:08;
175;J0418-4154;04:18:03.7;-41:54:14.4;
176;J0418+5732;04:18:33.8;+57:32:22.9;
177;J0418+6635;04:18:48.0;+66:35:25;
178;J0419+44;04:19;+44;
179;J0420-5022;04:20:01.9;-50:22:48.1;
180;J0421-0345;04:21:33.5;-03:45:06.6;
181;J0421+3255;04:21:33.2;+32:55:50;
182;J0426+4933;04:26:06.8;+49:33:38.4;
183;J0435+2749;04:35:51.8;+27:49:01.7;
184;J0437-4715;04:37:15.8;-47:15:09.1;
185;J0447-04;04:47;-04:35;
186;J0448-2749;04:48:41.5;-27:49:46.7;
187;J0449-7031;04:49:05.6;-70:31:31.7;
188;J0450-1248;04:50:08.7;-12:48:07.1;
189;J0451-67;04:51:50;-67:18;
190;J0452-1759;04:52:34.1;-17:59:23.3;
191;J0453+1559;04:53:45.4;+15:59:21.3;
192;J0454+4529;04:54:59.3;+45:29:46.7;
193;J0454+5543;04:54:07.7;+55:43:41.4;
194;J0455-6951;04:55:47.5;-69:51:34.3;
195;J0456-69;04:56:30;-69:10;
196;J0456-7031;04:56:02.5;-70:31:06.6;
197;J0457+23;04:57:06;+23:34:00;
198;J0457-6337;04:57:07.7;-63:37:30.4;
199;J0457-69;04:57:02;-69:46;
200;J0458-0505;04:58:37.1;-05:05:05.1;
201;J0458-67;04:58:59;-67:43;
202;J0459-0210;04:59:51.9;-02:10:06.6;
203;J0501+4516;05:01:06.7;+45:16:33.9;
204;J0502+4654;05:02:04.5;+46:54:06.0;
205;J0502-6617;05:02:50.5;-66:17:58.8;
206;J0506+50;05:06:14.1;+50:30:30;
207;J0509+0856;05:09:22.2;+08:56:25.0;
208;J0509+3801;05:09:31.7;+38:01:18.0;
209;J0511-6508;05:11:56.5;-65:08:36.5;
210;J0514-4002A;05:14:06.6;-40:02:48.8;
211;J0514-4002B;05:14:06.7;-40:02:47.9;
212;J0514-4002C;05:14:06.6;-40:02:49.4;
213;J0514-4002D;05:14:06.7;-40:02:48.2;
214;J0514-4002E;05:14:06.6;-40:02:47.7;
215;J0514-4002F;05:14:06.7;-40:02:48.5;
216;J0514-4002G;05:14:06.6;-40:02:48.1;
217;J0514-4002H;05:14:06.6;-40:02:48;
218;J0514-4002I;05:14:06.7;-40:02:48.2;
219;J0514-4002J;05:14:06.7;-40:02:48;
220;J0514-4002K;05:14:06.8;-40:02:48;
221;J0514-4002L;05:14:06.8;-40:02:48.0;
222;J0514-4002M;05:14:06.8;-40:02:48;
223;J0514-4002N;05:14:06.7;-40:02:47;
224;J0514-4408;05:14:52.1;-44:08:37.3;
225;J0517+2212;05:17:17.1;+22:12:51.9;
226;J0518+5125;05:18:26.1;+51:25:58.7;
227;J0518+5416;05:18:53.1;+54:16:50.0;
228;J0519+44;05:19;+44;
229;J0519-6932;05:19:46.9;-69:32:23.4;
230;J0520-2553;05:20:36.1;-25:53:12.2;
231;J0521-68;05:21:44;-68:35;
232;J0522-6847;05:22:23.0;-68:47:02.2;
233;J0523-7125;05:23:48.6;-71:25:52.5;
234;J0525+1115;05:25:56.4;+11:15:19.0;
235;J0525-6607;05:26:00.9;-66:04:36.3;
236;J0528+2200;05:28:52.2;+22:00:04;
237;J0529-0715;05:29:08.9;-07:15:26.4;
238;J0529-6652;05:29:50.9;-66:52:39.9;
239;J0530-39;05:30;-39;
240;J0532-6639;05:32:59.5;-66:39:37.3;
241;J0532-69;05:32:04;-69:46;
242;J0533+0402;05:33:25.8;+04:01:59.7;
243;J0533-4524;05:33:13.8;-45:24:50.2;
244;J0533+6759;05:33:55.1;+67:59:17.4;
245;J0534-13;05:34;-13;
246;J0534+2200;05:34:31.9;+22:00:52.0;
247;J0534+34;05:34:30;+34:07;
248;J0534-6703;05:34:36.1;-67:03:48.8;
249;J0535-66;05:35:40;-66:52;
250;J0535-6935;05:35;-69:35;
251;J0536-7543;05:36:30.8;-75:43:54.8;
252;J0537-69;05:37:43;-69:21;
253;J0537-6910;05:37:47.4;-69:10:19.8;
254;J0538+2817;05:38:25.0;+28:17:09.1;
255;J0540+3207;05:40:37.1;+32:07:37.3;
256;J0540-6919;05:40:11.2;-69:19:54.1;
257;J0540-7125;05:40:30.8;-71:25:31.4;
258;J0542-68;05:42:35;-68:16;
259;J0543+2329;05:43:09.6;+23:29:05;
260;J0543-6851;05:43:52.7;-68:51:25.3;
261;J0544+20;05:44:12;+20:50;
262;J0545-03;05:45;-03:10;
263;J0546+2441;05:46:28.7;+24:41:21;
264;J0550+09;05:50:28;+09:51;
265;J0554+3107;05:54:05.0;+31:07:41;
266;J0555+3948;05:55;+39:48;
267;J0555-7056;05:55:01.8;-70:56:45.6;
268;J0556-67;05:56:25;-67:29;
269;J0557+1550;05:57:31.4;+15:50:06.0;
270;J0557-2948;05:57:32.9;-29:48:16.8;
271;J0600-5756;06:00:46.5;-57:56:54;
272;J0601-0527;06:01:58.9;-05:27:50.8;
273;J0605+3757;06:05:05.5;+37:57:35.9;
274;J0608+00;06:08:49;+00:39;
275;J0608+1635;06:08:51.6;+16:35:09.4;
276;J0609+2130;06:09:58.8;+21:30:02.8;
277;J0610-2100;06:10:13.5;-21:00:27.8;
278;J0611+04;06:11:18;+04:06;
279;J0611+1436;06:11:18.6;+14:36:52;
280;J0611+30;06:11:16;+30:16;
281;J0612+3721;06:12:48.6;+37:21:37.3;
282;J0612+37216;06:12:44.1;+37:21:40;
283;J0613-0200;06:13:43.9;-02:00:47.2;
284;J0613+3731;06:13:12.1;+37:31:38.3;
285;J0614+2229;06:14:17.0;+22:29:56.8;
286;J0614-3329;06:14:10.3;-33:29:54.1;
287;J0614+83;06:14;+83:14;
288;J0621+0336;06:21:11.2;+03:36:45.5;
289;J0621+1002;06:21:22.1;+10:02:38.7;
290;J0621+2514;06:21:10.8;+25:14:03.8;
291;J0621-55;06:20:42;-56:05;
292;J0622+3749;06:22:10.5;+37:49:13.6;
293;J0623+0340;06:23:46.7;+03:40:06.8;
294;J0624-0424;06:24:20.0;-04:24:50.4;
295;J0625+10;06:25:45;+10:16;
296;J0627+0649;06:27:53.6;+06:49:54.1;
297;J0627+0706;06:27:44.1;+07:06:33.0;
298;J0627+16;06:27:13;+16:12;
299;J0628+0909;06:28:36.1;+09:09:13.9;
300;J0629+2415;06:29:05.7;+24:15:41.5;
301;J0630-0046;06:30:26.9;-00:46:05.8;
302;J0630+19;06:30:04;+19:37;
303;J0630-2834;06:30:49.4;-28:34:42.7;
304;J0631+0646;06:31:52.3;+06:46:14.2;
305;J0631+1036;06:31:27.5;+10:37:02.5;
306;J0633+0632;06:33:44.2;+06:32:34.9;
307;J0633+1746;06:33:54.1;+17:46:12.9;
308;J0633-2015;06:33:08.8;-20:15:07.1;
309;J0635+0533;06:35:18;+05:33:11;
310;J0636-23;06:36;-23;
311;J0636-3044;06:37:09;-30:50:42;
312;J0636-4549;06:36:33.7;-45:49:32.6;
313;J0636+5128;06:36:04.8;+51:28:59.9;
314;J0641+07;06:41:10;+07:44;
315;J0645+5158;06:45:59.0;+51:58:14.9;
316;J0645+80;06:46;+80:09;
317;J0646+0905;06:46:31.0;+09:05:49.6;
318;J0646-54;06:46:22.4;-54:52:57;
319;J0647+0913;06:47:15.6;+09:13:59.5;
320;J0648-27;06:48;-27;
321;J0652-0142;06:52:11.1;-01:42:30.3;
322;J0653+4706;06:53:05.8;+47:06:26.9;
323;J0653+8051;06:53:15.0;+80:52:00.2;
324;J0656-2228;06:56:30.2;-22:28:25.5;
325;J0656-5449;06:56:48.9;-54:49:14.9;
326;J0658+0022;06:58:15.2;+00:22:35.3;
327;J0659+1414;06:59:48.1;+14:14:19.4;
328;J0659-36;06:59;-36;
329;J0700+6418;07:00:37.8;+64:18:11.2;
330;J0702-4956;07:02:39.3;-49:56:34.2;
331;J0709+0458;07:09:08.3;+04:58:51.4;
332;J0709-5923;07:09:32.5;-59:23:55.6;
333;J0711+0931;07:11:36.1;+09:31:25;
334;J0711-6830;07:11:54.1;-68:30:47.3;
335;J0719-2545;07:19:07.3;-25:45:00.2;
336;J0720-3125;07:20:24.9;-31:25:50.0;
337;J0721-2038;07:21:42.9;-20:38:07.0;
338;J0725-1635;07:25:00.4;-16:35:45.8;
339;J0726-2612;07:26:08.1;-26:12:38.1;
340;J0729-1448;07:29:16.4;-14:48:36.8;
341;J0729-1836;07:29:32.3;-18:36:42.2;
342;J0732+2314;07:32:37.5;+23:14:54.2;
343;J0733-2345;07:33:24.6;-23:45:56.2;
344;J0734-1559;07:34:45.6;-15:59:18.2;
345;J0736-6304;07:36:20.0;-63:04:16;
346;J0737-2202;07:37:44.0;-22:02:05.3;
347;J0737-3039A;07:37:51.2;-30:39:40.7;
348;J0737-3039B;07:37:51.2;-30:39:40.7;
349;J0738-4042;07:38:32.2;-40:42:39.4;
350;J0738+6904;07:38:22.6;+69:04:20.0;
351;J0740+6620;07:40:45.7;+66:20:33.5;
352;J0742-2822;07:42:49.0;-28:22:43.7;
353;J0742+4110;07:42:12.2;+41:10:15.0;
354;J0742+4334;07:42:42.1;+43:34:02.2;
355;J0744-2525;06:46:22.4;-54:52:57;
356;J0745-5353;07:45:04.4;-53:53:09.5;
357;J0746-4529;07:46:59.5;-45:29:26.6;
358;J0747+6646;07:47:39.6;+66:46:56.7;
359;J0749-4247;07:49:49.6;-42:47:42.1;
360;J0750+57;07:50;+57:00;
361;J0750-6846;07:50:35.8;-68:46:33.8;
