#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;POSEPOCH;;BINARY;;BINCOMP;;
;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(MJD);;(type);;;;
1843;J1759-24;ncb+15;17:59:24;3.0e+01;ncb+15;-24:02;7.0e+00;ncb+15;*;0;*;*;0;*;56657.00;*;*;*;*;*;
1844;J1759-2549;mhl+02;17:59:35.12;9.0e-02;mhl+02;-25:49:07;3.4e+01;mhl+02;*;0;*;*;0;*;51380.00;*;*;*;*;*;
1845;J1759-2922;lml+98;17:59:48.246;1.4e-02;hlk+04;-29:22:07;2.5e+00;hlk+04;*;0;*;*;0;*;50856.00;hlk+04;*;*;*;*;
1846;J1759-3107;hfs+04;17:59:22.056;4.0e-03;lbs+20;-31:07:21.8;5.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
1847;J1759+5036;amm+21;17:59:45.672;3.0e-03;amm+21;+50:36:56.96;2.0e-02;amm+21;*;0;*;*;0;*;57633.00;*;DD;*;NS(?)[amm+21];*;
1848;J1759-5505;sfj+20;17:59:34.16;2.0e-02;sfj+20;-55:05:30.9;2.0e-01;sfj+20;*;0;*;*;0;*;57000;sfj+20;*;*;*;*;
1849;J1800-0125;crh+06a;18:00:22.08;3.0e-02;crh+06a;-01:25:30.6;7.0e-01;crh+06a;*;0;*;*;0;*;52820.00;*;*;*;*;*;
1850;J1800-2114;hfs+04;18:00:12.3;4.0e-01;hfs+04;-21:14:19;7.5e+01;hfs+04;*;0;*;*;0;*;52360.00;*;*;*;*;*;
1851;J1800-2343;moh83;18:00;4.0e+00;moh83;-23:43;1.5e+01;moh83;*;0;*;*;0;*;44969.00;*;*;*;*;*;
1852;J1800+5034;slr+14;18:00:44.372;1.0e-02;lsk+18;+50:34:21.76;1.4e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
1853;J1801-0357;stwd85;18:01:22.628;3.0e-03;lbs+20;-03:57:55.7;2.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
1854;J1801-0857A;lrfs11;18:01:50.6097;1.0e-04;pmq+21;-08:57:31.853;6.0e-03;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1855;J1801-0857B;lrfs11;18:01:50.5642;4.0e-04;pqm+21;-08:57:32.87;2.0e-02;pqm+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58670.00;pqm+21;BT;pqm+21;*;*;
1856;J1801-0857C;lrfs11;18:01:50.73731;7.0e-05;pmq+21;-08:57:32.699;3.0e-03;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1857;J1801-0857D;lrfs11;18:01:55.3632;2.0e-04;pmq+21;-08:57:24.284;9.0e-03;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1858;J1801-0857E;pmq+21;18:01:50.6232;3.0e-04;pmq+21;-08:57:31.29;2.0e-02;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1859;J1801-0857F;pmq+21;18:01:50.7409;3.0e-04;pmq+21;-08:57:31.27;2.0e-02;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1860;J1801-0857G;pmq+21;18:01:50.099;2.0e-03;pmq+21;-08:57:27.9;1.0e-01;pmq+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58650;pmq+21;*;*;*;*;
1861;J1801-0857H;pqm+21;18:01:52.5895;9.0e-04;pqm+21;-08:57:53.15;5.0e-02;pqm+21;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;58868.00;*;*;*;*;*;
1862;J1801-0857I;pqm+21;18:01:50.5;0.0e+00;har10a;-08:57:32;0.0e+00;har10a;-1.551;2.9e-02;vb21;-4.470;2.8e-02;vb21;*;*;*;*;*;*;
1863;J1801-1417;fsk+04;18:01:51.073331;1.9e-05;dcl+16;-14:17:34.526;2.0e-03;dcl+16;-10.89;1.2e-01;dcl+16;-3.0;1.0e+00;dcl+16;55000.00;*;*;*;*;*;
1864;J1801-1855;mhl+02;18:01:22.3;3.0e-01;mhl+02;-18:55:49;4.9e+01;mhl+02;*;0;*;*;0;*;51495.00;*;*;*;*;*;
1865;J1801-1909;mhl+02;18:01:46.69;3.0e-02;mhl+02;-19:09:36;6.0e+00;mhl+02;*;0;*;*;0;*;51491.00;*;*;*;*;*;
1866;J1801-2115;hfs+04;18:01:32.49;1.2e-01;hfs+04;-21:15:18;5.3e+01;hfs+04;*;0;*;*;0;*;51887.00;*;*;*;*;*;
1867;J1801-2154;hfs+04;18:01:08.68;3.5e-01;psj+19;-21:54:07.15;4.5e-01;psj+19;*;0;*;*;0;*;55385;psj+19;*;*;*;*;
1868;J1801-2304;mdt85;18:01:19.81488;6.0e-04;ddb+17;-23:04:44.637;1.0e-02;ddb+17;*;0;*;*;0;*;57259;ddb+17;*;*;*;*;
1869;J1801-2451;mdt85;18:01:00.016;8.0e-03;zbcg08;-24:51:27.5;2.0e-01;zbcg08;-11;9.0e+00;zbcg08;-1;1.5e+01;zbcg08;53348.00;zbcg08;*;*;*;*;
1870;J1801-2920;jlm+92;18:01:46.839;3.0e-03;lbs+20;-29:20:38.1;3.0e-01;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
1871;J1801-3210;kjv+10;18:01:25.8872;1.0e-04;pbm+19;-32:10:53.733;9.0e-03;pbm+19;-4.0;6.0e-01;pbm+19;-4;3.0e+00;pbm+19;56635.00;*;BT;pbm+19;He[bbb+11];*;
1872;J1801-3458;lfl+06;18:01:52.66;1.1e-01;lfl+06;-34:58:37;7.0e+00;lfl+06;*;0;*;*;0;*;53112.00;*;*;*;*;*;
1873;J1802+0128;ebvb01;18:02:27.45;2.0e-02;ebvb01;+01:28:23.7;4.0e-01;ebvb01;*;0;*;*;0;*;51650.00;*;*;*;*;*;
1874;J1802+03;dsm+13;18:02:44;3.0e+01;dsm+13;+03:38;8.0e+00;dsm+13;*;0;*;*;0;*;56362.00;*;*;*;*;*;
1875;J1802-0523;bbb+12;18:02:12.14;8.0e-02;bsb+19;-05:23:29;4.0e+00;bsb+19;*;0;*;*;0;*;56908.00;*;*;*;*;*;
1876;J1802-1745;mhl+02;18:02:14.85;3.0e-02;mhl+02;-17:45:17;7.0e+00;mhl+02;*;0;*;*;0;*;51719.00;*;*;*;*;*;
1877;J1802-2124;fsk+04;18:02:05.335576;9.0e-06;fsk+10;-21:24:03.649;3.0e-03;fsk+10;-0.85;1.0e-01;fsk+10;4.8;0;fsk+10;53453.00;*;ELL1;fsk+10;CO[fsk+10];*;
1878;J1802-2426;mhl+02;18:02:03.10;4.0e-02;mhl+02;-24:26:43;3.0e+01;mhl+02;*;0;*;*;0;*;51495.00;*;*;*;*;*;
1879;J1802-3346;kjv+10;18:02:55.2;1.0e-01;bbb+12;-33:46:45;5.0e+00;bbb+12;*;0;*;*;0;*;54894.00;*;*;*;*;*;
1880;J1803+1358;aab+22;18:03:11;0;aab+22;+13:59:26;0;aab+22;*;0;*;*;0;*;*;*;*;*;*;*;
1881;J1803-1616;hfs+04;18:03:34.68;3.0e-02;hfs+04;-16:16:30;4.0e+00;hfs+04;*;0;*;*;0;*;51991.00;*;*;*;*;*;
1882;J1803-1857;mhl+02;18:03:59.06;3.0e-02;mhl+02;-18:57:19;8.0e+00;mhl+02;*;0;*;*;0;*;51491.00;*;*;*;*;*;
1883;J1803-1920;hfs+04;18:03:29.44;3.0e-02;hfs+04;-19:20:41;7.0e+00;hfs+04;*;0;*;*;0;*;51843.00;*;*;*;*;*;
1884;J1803-2137;cl86;18:03:51.4105;1.0e-03;bckf06;-21:37:07.351;1.0e-02;bckf06;11.6;1.8e+00;bckf06;14.8;2.3e+00;bckf06;51544;bckf06;*;*;*;*;
1885;J1803-2149;pga+12;18:03:09.632;9.0e-03;pga+12;-21:49:13;4.0e+00;pga+12;*;0;*;*;0;*;55225.00;*;*;*;*;*;
1886;J1803-2712;jlm+92;18:03:31.692;1.6e-02;hlk+04;-27:12:06;3.6e+00;hlk+04;*;0;*;*;0;*;50261.00;hlk+04;BT;jml+95;He[jml+92];*;
1887;J1803-3002A;pdc+05;18:03:34.0;0;har10a;-30:02:02;0;har10a;2.566;3.9e-02;vb21;-6.438;3.6e-02;vb21;58700.00;*;*;*;*;*;
1888;J1803-3002B;fre08;18:03:34.0;0;har10a;-30:02:02;0;har10a;2.566;3.9e-02;vb21;-6.438;3.6e-02;vb21;54100.00;*;*;*;*;*;
1889;J1803-3002C;fre08;18:03:34.0;0;har10a;-30:02:02;0;har10a;2.566;3.9e-02;vb21;-6.438;3.6e-02;vb21;54100.00;*;*;*;*;*;
1890;J1803-3002D;rgf+21;18:03:34.0;0;har10a;-30:02:02;0;har10a;2.566;3.9e-02;vb21;-6.438;3.6e-02;vb21;*;*;*;*;*;*;
1891;J1803-3329;kjv+10;18:03:44.453;4.0e-03;bbb+12;-33:29:10.7;3.0e-01;bbb+12;*;0;*;*;0;*;55152.00;*;*;*;*;*;
1892;J1804-0735;dbl+93;18:04:49.8954;1.6e-03;hlk+04;-07:35:24.69;1.1e-01;hlk+04;-6.896;2.6e-02;vb21;-3.537;2.6e-02;vb21;50337.00;hlk+04;BT;hlk+04;*;*;
1893;J1804-2228;mhl+02;18:04:28.19;9.0e-02;mhl+02;-22:28:18;5.5e+01;mhl+02;*;0;*;*;0;*;51414.00;*;*;*;*;*;
1894;J1804-2717;llb+96;18:04:21.133087;1.9e-05;dcl+16;-27:17:31.335;4.0e-03;dcl+16;2.56;1.5e-01;dcl+16;-17;3.0e+00;dcl+16;55000.00;*;DD;dcl+16;He[llb+96];*;
1895;J1804-28;kek+13;18:04:48;3.0e+01;kek+13;-28:07;7.0e+00;kek+13;*;0;*;*;0;*;51973.70;*;*;*;*;*;
1896;J1804-2858;mbc+19;18:04:01.52323;4.0e-05;pbm+19;-28:58:46.608;7.0e-03;pbm+19;-6.4;5.0e-01;pbm+19;-11;5.0e+00;pbm+19;57425.00;*;*;*;*;*;
1897;J1805+0306;stwd85;18:05:10.154;1.9e-03;hlk+04;+03:06:30.27;1.1e-01;hlk+04;*;0;*;*;0;*;49946.00;hlk+04;*;*;*;*;
1898;J1805+0615;cck+16;18:05:42.39969;3.0e-05;drc+21;+06:15:18.606;1.3e-02;drc+21;8.7;1.3e+00;drc+21;12.8;2.9e+00;drc+21;57002.00;*;ELL1;drc+21;UL[drc+21];*;
1899;J1805-0619;ebvb01;18:05:31.436;9.0e-03;ebvb01;-06:19:45.4;4.0e-01;ebvb01;*;0;*;*;0;*;51650.00;*;*;*;*;*;
1900;J1805-1504;lfl+06;18:05:06.10;1.7e-01;lfl+06;-15:04:36;1.8e+01;lfl+06;*;0;*;*;0;*;53035.00;*;*;*;*;*;
1901;J1805-2032;mhl+02;18:05:37.09;6.0e-02;mhl+02;-20:32:51;2.1e+01;mhl+02;*;0;*;*;0;*;51149.00;*;*;*;*;*;
1902;J1805-2037;mhl+02;18:05:28.19;3.0e-02;mhl+02;-20:37:16;1.1e+01;mhl+02;*;0;*;*;0;*;51388.00;*;*;*;*;*;
1903;J1805-2447;hfs+04;18:05:25.93;3.0e-02;hfs+04;-24:47:30;1.4e+01;hfs+04;*;0;*;*;0;*;51936.00;*;*;*;*;*;
1904;J1805-2948;bbb+12;18:05:42.49;1.0e-02;bbb+12;-29:48:00;2.0e+00;bbb+12;*;0;*;*;0;*;55137.00;*;*;*;*;*;
1905;J1806+1023;ebvb01;18:06:52.114;3.0e-03;jbo+09;+10:23:18.30;1.2e-01;jbo+09;*;0;*;*;0;*;53000.00;*;*;*;*;*;
1906;J1806-1154;stwd85;18:06:06.791;9.6e-03;hlk+04;-11:54:28.7;1.1e+00;hlk+04;*;0;*;*;0;*;50134.00;hlk+04;*;*;*;*;
1907;J1806-1618;hfs+04;18:06:25.78;6.0e-02;hfs+04;-16:18:38;8.0e+00;hfs+04;*;0;*;*;0;*;51843.00;*;*;*;*;*;
1908;J1806-1920;mhl+02;18:06:06.6;2.0e-01;mhl+02;-19:20:23;4.0e+01;mhl+02;*;0;*;*;0;*;51271.00;*;*;*;*;*;
1909;J1806-2125;mhl+02;18:06:19.80;2.7e-01;psj+19;-21:27:55.58;7.3e-01;psj+19;*;0;*;*;0;*;55349;psj+19;*;*;*;*;
1910;J1806+2819;kmk+18;18:06:25.0658;5.0e-04;kmk+18;+28:19:01.115;5.0e-03;kmk+18;*;0;*;*;0;*;57004.00;*;ELL1;kmk+18;He[kmk+18];*;
1911;J1807+04;dsm+13;18:07:25;3.0e+01;dsm+13;+04:05;8.0e+00;dsm+13;*;0;*;*;0;*;56496.00;*;*;*;*;*;
1912;J1807+0756;rtj+96;18:07:51.235;2.0e-03;clm+05;+07:56:43.39;5.0e-02;clm+05;*;0;*;*;0;*;53064.00;*;*;*;*;*;
1913;J1807-0847;mlt+78;18:07:38.0274;4.0e-04;hlk+04;-08:47:43.27;2.0e-02;hlk+04;-5;4.0e+00;fgml97;1;4.0e+00;fgml97;48244.00;hlk+04;*;*;*;*;
1914;J1807-2459A;rgh+01;18:07:20.355604;1.6e-05;lfrj12;-24:59:52.9015;6.5e-03;lfrj12;-2.304;3.1e-02;vb21;-18.604;3.0e-02;vb21;55243.00;*;BT;lfrj12;UL[lfrj12];*;
1915;J1807-2459B;cha03;18:07:20.871209;5.3e-05;lfrj12;-25:00:01.915;1.7e-02;lfrj12;-2.304;3.1e-02;vb21;-18.604;3.0e-02;vb21;54881.35;*;DD;lfrj12;NS/CO(?)[lfrj12];*;
1916;J1807-2557;kle+10;18:07:13.66;1.0e-02;kkl+11;-25:57:20;5.0e+00;kkl+11;*;0;*;*;0;*;54984.00;*;*;*;*;*;
1917;J1807-2715;mlt+78;18:07:08.495;8.2e-03;hlk+04;-27:15:03.0;1.4e+00;hlk+04;*;0;*;*;0;*;49891.00;hlk+04;*;*;*;*;
1918;J1808+00;cnst96;18:08:19;1.6e+01;cnst96;+00:34;5.0e+00;cnst96;*;0;*;*;0;*;49717.00;*;*;*;*;*;
1919;J1808-0813;mld+96;18:08:09.432;9.4e-03;hlk+04;-08:13:01.8;6.8e-01;hlk+04;*;0;*;*;0;*;50862.00;hlk+04;*;*;*;*;
1920;J1808-1020;lfl+06;18:08:45.634;6.0e-03;lfl+06;-10:20:48.3;4.0e-01;lfl+06;*;0;*;*;0;*;53035.00;*;*;*;*;*;
1921;J1808-1517;eklk13;18:08:39.09;2.0e-02;eklk13;-15:17:40;2.0e+00;eklk13;*;0;*;*;0;*;55105.40;*;*;*;*;*;
1922;J1808-1726;lfl+06;18:08:42.3;3.0e-01;lfl+06;-17:26:27;4.2e+01;lfl+06;*;0;*;*;0;*;53108.00;*;*;*;*;*;
1923;J1808-2024;kds+98;18:08:39.337;4.0e-03;icm+05;-20:24:39.85;6.0e-02;icm+05;-4.5;1.4e+00;tck12;-6.9;2.0e+00;tck12;53254.00;*;*;*;*;*;
1924;J1808-2057;cl86;18:08:06.396;1.1e-02;hlk+04;-20:58:08;2.9e+00;hlk+04;*;0;*;*;0;*;49612.00;hlk+04;*;*;*;*;
1925;J1808-2701;lfl+06;18:08:13.23;4.0e-02;lfl+06;-27:01:21;9.0e+00;lfl+06;*;0;*;*;0;*;53112.00;*;*;*;*;*;
1926;J1808-3249;ebvb01;18:08:04.48;2.0e-02;ebvb01;-32:49:34;1.0e+00;ebvb01;*;0;*;*;0;*;51500.00;*;*;*;*;*;
1927;J1809-0119;kjv+10;18:09:51.36;1.0e-02;bbb+12;-01:19:29.0;4.0e-01;bbb+12;*;0;*;*;0;*;55254.00;*;*;*;*;*;
1928;J1809-0743;ebvb01;18:09:35.92;1.0e-02;ebvb01;-07:43:01.4;5.0e-01;ebvb01;*;0;*;*;0;*;51650.00;*;*;*;*;*;
1929;J1809-1429;mhl+02;18:09:45.510;8.0e-03;mhl+02;-14:29:25.0;1.2e+00;mhl+02;*;0;*;*;0;*;51495.00;*;*;*;*;*;
1930;J1809+17;scb+19;18:09:06;1.2e+01;scb+19;+17:04;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
1931;J1809-1850;hfs+04;18:09:37.21;1.2e-01;hfs+04;-18:50:55;2.1e+01;hfs+04;*;0;*;*;0;*;51871.00;*;*;*;*;*;
1932;J1809-1917;mhl+02;18:09:43.136;2.0e-03;psj+19;-19:17:38.1;5.0e-01;psj+19;-19;6.0e+00;psj+19;50;9.0e+01;psj+19;55366;psj+19;*;*;*;*;
1933;J1809-1943;ims+04;18:09:51.08696;3.0e-04;hcb+07;-19:43:51.9315;4.0e-03;hcb+07;-6.60;6.0e-02;hcb+07;-11.7;1.0e+00;hcb+07;55444.00;*;*;*;*;*;
1934;J1809-2004;mhl+02;18:09:15.87;1.5e-01;mhl+02;-20:04:12;5.7e+01;mhl+02;*;0;*;*;0;*;51719.00;*;*;*;*;*;
1935;J1809-2109;cjlm87;18:09:14.329;3.7e-03;hlk+04;-21:09:02.9;1.4e+00;hlk+04;*;0;*;*;0;*;49612.00;hlk+04;*;*;*;*;
1936;J1809-2332;aaa+09c;18:09:50.25;3.0e-02;vrn12;-23:32:22.68;1.0e-01;vrn12;12;8.0e+00;vrn12;-24;6.0e+00;vrn12;55770;vrn12;*;*;*;*;
1937;J1809-3547;lml+98;18:09:26.98;4.0e-02;dsb+98;-35:47:18;2.0e+00;dsb+98;*;0;*;*;0;*;49388.90;*;*;*;*;*;
1938;J1810+0705;scb+19;18:10:47.038;7.0e-03;tbc+20;+07:05:36.3;2.0e-01;tbc+20;*;0;*;*;0;*;57770.00;*;*;*;*;*;
1939;J1810-1441;hfs+04;18:10:59.162;1.4e-02;hfs+04;-14:41:33.6;1.3e+00;hfs+04;*;0;*;*;0;*;51874.00;*;*;*;*;*;
1940;J1810-1709;ccb+20;18:10:28.21;3.0e-02;ccb+20;-17:09:27;4.0e+00;ccb+20;*;0;*;*;0;*;57573.00;*;*;*;*;*;
1941;J1810+1744;hrm+11;18:10:37.28;1.0e-02;bvr+13;+17:44:37.38;7.0e-02;bvr+13;*;0;*;*;0;*;55196.00;*;BT;hrm+11;UL[hrm+11];*;
1942;J1810-1820;mhl+02;18:10:55.52;3.0e-02;mhl+02;-18:20:39;6.0e+00;mhl+02;*;0;*;*;0;*;50972.00;*;*;*;*;*;
1943;J1810-2005;clm+01;18:10:58.9919;6.0e-04;jsb+10;-20:05:08.27;1.4e-01;jsb+10;0;2.0e+00;jsb+10;17;3.7e+01;jsb+10;53200;jsb+10;ELL1;jsb+10;He(?)[jsb+10];*;
1944;J1810-5338;mlt+78;18:10:44.473;3.0e-03;lbs+20;-53:38:07.631;6.0e-03;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
1945;J1811-0154;ebvb01;18:11:19.88;3.0e-02;ebvb01;-01:54:30.9;7.0e-01;ebvb01;*;0;*;*;0;*;51650.00;*;*;*;*;*;
1946;J1811-0624;mzl+23;18:11:18.0861;2.0e-04;mzl+23;-06:24:37.42;3.0e-02;mzl+23;*;0;*;*;0;*;58743.43;*;ELL1;mzl+23;He[mzl+23];*;
1947;J1811+0702;fcwa95;18:11:20.42;7.0e-02;lwf+04;+07:02:29.7;2.0e-01;lwf+04;*;0;*;*;0;*;51885.00;*;*;*;*;*;
1948;J1811-1049;kek+13;18:11:17.07;8.0e-02;kek+13;-10:49:03;4.0e+00;kek+13;*;0;*;*;0;*;55983.50;*;*;*;*;*;
1949;J1811-1717;ncb+15;18:11:26.53;1.9e-01;ncb+15;-17:17:47;1.4e+01;ncb+15;*;0;*;*;0;*;56762.00;*;*;*;*;*;
1950;J1811-1736;lcm+00;18:11:55.034;3.0e-03;cks+07;-17:36:37.7;4.0e-01;cks+07;*;0;*;*;0;*;51050.00;*;BT;cks+07;NS[mig00];*;
1951;J1811-1835;mhl+02;18:11:29.72;9.0e-02;mhl+02;-18:35:44;1.3e+01;mhl+02;*;0;*;*;0;*;51184.00;*;*;*;*;*;
1952;J1811-1925;ttdm97;18:11:29.2;1.0e-01;rtk+03;-19:25:28;1.0e+00;rtk+03;*;0;*;*;0;*;49452.60;*;*;*;*;*;
1953;J1811-2405;kjv+10;18:11:19.854050;1.9e-05;ngf+20;-24:05:18.422;1.0e-02;ngf+20;0.53;6.0e-02;ngf+20;0;0;ngf+20;56330;ngf+20;ELL1H;ngf+20;He[bbb+11];*;
1954;J1811-2439;lfl+06;18:11:55.53;3.0e-02;lfl+06;-24:39:53;9.0e+00;lfl+06;*;0;*;*;0;*;53165.00;*;*;*;*;*;
1955;J1811-4930;kjv+10;18:11:27.19;1.0e-02;bbb+12;-49:30:20.8;2.0e-01;bbb+12;*;0;*;*;0;*;54996.00;*;*;*;*;*;
1956;J1812+0226;stwd85;18:12:53.187;6.5e-03;hlk+04;+02:26:57.12;1.8e-01;hlk+04;*;0;*;*;0;*;49906.00;hlk+04;*;*;*;*;
1957;J1812-15;ccb+20;18:12:36;3.0e+01;ccb+20;-15:31;7.0e+00;ccb+20;*;0;*;*;0;*;*;*;*;*;*;*;
1958;J1812-1718;cl86;18:12:07.208;7.7e-03;hlk+04;-17:18:29.5;1.1e+00;hlk+04;*;0;*;*;0;*;49612.00;hlk+04;*;*;*;*;
1959;J1812-1733;cjlm87;18:12:15.85925;1.7e-04;ddb+17;-17:33:37.871;2.0e-03;ddb+17;*;0;*;*;0;*;57382;ddb+17;*;*;*;*;
1960;J1812-1910;hfs+04;18:12:34.89;1.0e-01;hfs+04;-19:10:39;1.0e+01;hfs+04;*;0;*;*;0;*;51997.00;*;*;*;*;*;
1961;J1812-20;ccb+20;18:12:36.58;5.0e-02;ccb+20;-20:58.1;5.0e-01;ccb+20;*;0;*;*;0;*;57615.00;*;*;*;*;*;
1962;J1812-2102;mhl+02;18:12:20.93;6.0e-02;mhl+02;-21:02:36;1.5e+01;mhl+02;*;0;*;*;0;*;51134.00;*;*;*;*;*;
1963;J1812-2526;lfl+06;18:12:32.30;3.0e-02;lfl+06;-25:26:38;7.0e+00;lfl+06;*;0;*;*;0;*;53171.00;*;*;*;*;*;
1964;J1812-2748;kjv+10;18:12:40.58;1.0e-02;bbb+12;-27:48:03;2.0e+00;bbb+12;*;0;*;*;0;*;55160.00;*;*;*;*;*;
1965;J1812-3039;bbb+12;18:12:44.902;9.0e-03;bbb+12;-30:39:21;1.0e+00;bbb+12;*;0;*;*;0;*;55336.00;*;*;*;*;*;
1966;J1813-0402;mzl+23;18:13:34.93602;2.0e-05;mzl+23;-04:02:47.8226;1.2e-03;mzl+23;*;0;*;*;0;*;58718.55;*;ELL1;mzl+23;He[mzl+23];*;
1967;J1813-1246;aaa+09c;18:13:23.77;1.0e-02;rkp+11;-12:45:59.2;1.5e+00;rkp+11;*;0;*;*;0;*;54954.00;*;*;*;*;*;
1968;J1813-1749;gh09b;18:13:35.180;9.0e-03;dr21;-17:49:57.52;1.3e-01;dr21;-5.0;3.7e+00;dr21;-13.2;6.7e+00;dr21;58090;dr21;*;*;*;*;
1969;J1813+1822;lwf+04;18:13:38.76;5.0e-02;lwf+04;+18:22:15.0;9.0e-01;lwf+04;*;0;*;*;0;*;51886.00;*;*;*;*;*;
1970;J1813-2113;mhl+02;18:13:39.87;3.0e-02;mhl+02;-21:13:00.4;7.3e+00;mhl+02;*;0;*;*;0;*;51018.00;*;*;*;*;*;
1971;J1813-2242;hfs+04;18:13:29.16;8.0e-02;hfs+04;-22:42:06;4.2e+01;hfs+04;*;0;*;*;0;*;51843.00;*;*;*;*;*;
1972;J1813-2621;fsk+04;18:13:40.59165;1.0e-04;lem+15;-26:21:57.055;1.8e-02;lem+15;-7.3;9.0e-01;lem+15;-22;1.6e+01;lem+15;54058.00;*;ELL1;*;He[lem+15];*;
1973;J1813+4013;dth78;18:13:13.281;7.0e-03;hlk+04;+40:13:39.03;1.1e-01;hlk+04;*;0;*;*;0;*;49886.00;hlk+04;*;*;*;*;
1974;J1814-0521;kjv+10;18:14:26.13;2.0e-02;bbb+12;-05:21:37.0;8.0e-01;bbb+12;*;0;*;*;0;*;55257.00;*;*;*;*;*;
1975;J1814-0618;lfl+06;18:14:41.26;7.0e-02;lfl+06;-06:18:01.7;3.3e+00;lfl+06;*;0;*;*;0;*;53095.00;*;*;*;*;*;
1976;J1814+1130;naf03;18:14:42.742;2.0e-03;naf03;+11:30:43.95;5.0e-02;naf03;*;0;*;*;0;*;51500.00;*;*;*;*;*;
1977;J1814-1649;mhl+02;18:14:37.35;4.0e-02;mhl+02;-16:49:28;5.0e+00;mhl+02;*;0;*;*;0;*;51133.00;*;*;*;*;*;
1978;J1814-1744;ckl+00;18:14:43.10;5.0e-02;js06;-17:44:48;8.0e+00;js06;*;0;*;*;0;*;52353.00;*;*;*;*;*;
1979;J1814+22;scb+19;18:14:36;1.2e+01;scb+19;+22:23;3.0e+00;scb+19;*;0;*;*;0;*;*;*;*;*;*;*;
1980;J1814+31;aab+22;18:14:31;0;aab+22;+31:30:01;0;aab+22;*;0;*;*;0;*;*;*;*;*;*;*;
1981;J1815-1738;hfs+04;18:15:14.67;1.9e-01;psj+19;-17:38:06.83;4.4e-01;psj+19;*;0;*;*;0;*;55364;psj+19;*;*;*;*;
1982;J1815-1910;mhl+02;18:15:03.08;4.0e-02;mhl+02;-19:10:00.4;7.5e+00;mhl+02;*;0;*;*;0;*;50954.00;*;*;*;*;*;
1983;J1815+5546;slr+14;18:15:05.74;5.7e-02;lsk+18;+55:46:23.3;7.2e-01;lsk+18;*;0;*;*;0;*;56500.00;*;*;*;*;*;
1984;J1816-0755;lfl+06;18:16:24.543;6.0e-03;lfl+06;-07:55:22.5;4.0e-01;lfl+06;*;0;*;*;0;*;53035.00;*;*;*;*;*;
1985;J1816-1446;hfs+04;18:16:29.19;3.0e-02;hfs+04;-14:46:30;3.0e+00;hfs+04;*;0;*;*;0;*;51969.00;*;*;*;*;*;
1986;J1816-1729;clj+92;18:16:18.662;4.9e-03;hlk+04;-17:29:02.7;6.8e-01;hlk+04;*;0;*;*;0;*;49481.00;hlk+04;*;*;*;*;
1987;J1816-2650;lvw69a;18:16:35.399;6.0e-03;lbs+20;-26:49:53;1.0e+00;lbs+20;*;0;*;*;0;*;57600;lbs+20;*;*;*;*;
1988;J1816+4510;slr+14;18:16:35.93436;7.0e-05;slr+14;+45:10:33.8618;8.0e-04;slr+14;5.3;8.0e-01;slr+14;-3;1.0e+00;slr+14;56047.00;*;ELL1;*;MS[ssc+19];*;
1989;J1816-5643;jbo+09;18:16:36.464;7.0e-03;jbo+09;-56:43:42.10;6.0e-02;jbo+09;*;0;*;*;0;*;53000.00;*;*;*;*;*;
1990;J1817-0743;lfl+06;18:17:49.79;5.0e-02;lfl+06;-07:43:18.9;1.4e+00;lfl+06;*;0;*;*;0;*;52887.00;*;*;*;*;*;
1991;J1817-1511;hfs+04;18:17:36.20;6.0e-02;hfs+04;-15:11:39;6.0e+00;hfs+04;*;0;*;*;0;*;52160.00;*;*;*;*;*;
1992;J1817-1742;cla17;18:17:09.034;5.0e-03;cla17;-17:42:01.1;6.0e-01;cla17;*;0;*;*;0;*;*;*;*;*;*;*;
1993;J1817-1938;bbb+12;18:17:06.82;8.0e-02;kek+13;-19:38:36;1.2e+01;kek+13;*;0;*;*;0;*;55991.80;*;*;*;*;*;
1994;J1817-2311;moh83;18:17;4.0e+00;moh83;-23:11;1.5e+01;moh83;*;0;*;*;0;*;44969.00;*;*;*;*;*;
