46;J0139+3336;01:39:57.23;4.0e-02;+33:36:59.7;9.0e-01;*;0;*;0;57901;21.23
47;J0139+5621;01:39:38.56;2.0e-02;+56:21:36.8;4.0e-01;*;0;*;0;56000.00;101.842
48;J0139+5814;01:39:19.7401;1.2e-03;+58:14:31.819;1.7e-02;-19.11;7.0e-02;-16.60;7.0e-02;52275;73.81141
49;J0141+6009;01:41:39.938;7.6e-03;+60:09:32.30;6.7e-02;*;0;*;0;49293.00;34.926
50;J0146+6145;01:46:22.42;1.0e-01;+61:45:02.8;7.0e-01;-4.1;1.0e+00;1.9;1.0e+00;49031;*
51;J0147+5922;01:47:44.6434;1.0e-04;+59:22:03.284;1.0e-03;-6.39;9.0e-02;3.80;8.0e-02;56000.00;40.111
52;J0151-0635;01:51:22.7179;2.0e-04;-06:35:02.987;2.0e-03;10.7;1.0e-01;-5.38;7.0e-02;56000.00;25.66
53;J0152-1637;01:52:10.8539;1.0e-04;-16:37:53.641;2.0e-03;0.8;2.0e-01;-31.3;4.0e-01;56000.00;11.92577
54;J0154+1833;01:54:36.88273;3.0e-05;+18:33:50.758;9.0e-03;10.3;9.0e-01;-8.9;1.9e+00;56900.00;19.7978
55;J0157+6212;01:57:49.9434;1.0e-04;+62:12:26.648;1.0e-03;1.57;6.0e-02;44.80;4.0e-02;56000.00;30.21
56;J0201+7005;02:01:41.344;7.0e-03;+70:05:18.11;6.0e-02;*;0;*;0;56777.00;21.029
57;J0205+6449;02:05:37.92247;1.5e-04;+64:49:41.3343;1.0e-03;-1.40;1.6e-01;0.54;1.6e-01;55487;140.7
58;J0206-4028;02:06:01.293;5.0e-03;-40:28:03.62;7.0e-02;9;4.0e+00;26;5.0e+00;57600;12.9
59;J0209+5759;02:09:37.304;1.6e-02;+57:59:45.31;1.8e-01;*;0;*;0;58790.00;55.282
60;J0211-8159;02:11:59.0;3.0e-01;-81:59:36.2;3.0e-01;*;0;*;0;49525.14;24.36
61;J0212+5222;02:12:52.138;6.0e-03;+52:22:49.50;4.1e-02;*;0;*;0;56500.00;38.21
62;J0214+5222;02:14:55.2713;3.4e-03;+52:22:40.95;1.9e-01;*;0;*;0;55974.00;22.0354
63;J0215+6218;02:15:56.626;9.5e-03;+62:18:33.37;9.8e-02;*;0;*;0;51341.00;84.00
64;J0218+4232;02:18:06.358569;4.0e-06;+42:32:17.37515;8.0e-05;5.35;5.0e-02;-3.74;1.2e-01;55849.1;61.252
65;J0220+3626;02:20:42.12;2.0e-02;+36:26:55.7;2.0e-01;*;0;*;0;57022.00;40
66;J0231+7026;02:31:13.99;2.6e-02;+70:26:33.88;1.7e-01;*;0;*;0;49692.00;46.6794
67;J0248+4230;02:48:31.003;1.0e-03;+42:30:20.49;5.0e-02;*;0;*;0;56588.00;48.2634
68;J0248+6021;02:48:18.617;1.0e-03;+60:21:34.72;1.0e-02;48;1.0e+01;48;4.0e+00;54000;370
69;J0250+5854;02:50:17.78;3.0e-02;+58:54:01.3;2.0e-01;*;0;*;0;57973.00;45.281
70;J0251+2606;02:51:02.5537;5.0e-04;+26:06:09.97;2.0e-02;17;3.0e+00;*;0;56644.00;20.2166
71;J0255-5304;02:55:56.2925;9.0e-04;-53:04:21.275;9.0e-03;25;4.0e+00;7;3.0e+00;57600;15.9
72;J0302+2252;03:02:31.990;4.0e-03;+22:52:12.1;2.0e-01;*;0;*;0;57811;18.9922
73;J0304+1932;03:04:33.115;1.6e-02;+19:32:51.4;8.0e-01;6;7.0e+00;-37;4.0e+00;49289.00;15.65677
74;J0318+0253;03:18:15.541;1.0e-03;+02:53:01.48;5.0e-02;*;0;*;0;56437.00;25.98
75;J0323+3944;03:23:26.6619;1.0e-04;+39:44:52.403;1.0e-03;26.50;5.0e-02;-30.77;2.0e-02;56000.00;26.18975
