source_id,ra,dec
7.47174E+17,151.8398588,34.13992724
8.09741E+17,151.7867146,44.89660328
1.05888E+18,162.2476841,65.79879272
1.14402E+18,133.3549479,79.35525756
1.3503E+18,264.9835873,45.03814101
1.52583E+18,198.3709178,41.86501719
1.58112E+18,185.0534125,58.687909
1.69529E+18,226.4783779,71.13442476
1.74901E+18,308.3136017,7.979452982
1.85424E+18,321.907099,33.27330494
1.94729E+18,326.7356868,33.47052567
2.39714E+18,341.2023533,-22.60209191
3.64996E+18,218.3785966,-1.245269741
4.272E+18,277.9317203,-1.316502963
4.31424E+18,285.6871175,13.06366829
4.74409E+18,34.2129667,-53.36163997
5.58053E+18,99.94918509,-36.93097454
5.59096E+18,108.7940107,-34.50366449
5.59344E+18,112.684782,-30.46056271
5.68191E+18,142.1271143,-17.59473149
5.84792E+18,213.8310224,-66.59960229
6.00146E+18,232.7220814,-42.84265697
6.32815E+18,218.0862016,-10.36633464
6.59376E+18,337.2139269,-39.72191449
