source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4689639468699968384,6.035197051104094,0.04564539436341822,-72.07665358331344,0.029931263390259227,0.11968302984670005,0.041166656475248545,11.812607,1.3903217,,,"NOT_AVAILABLE",5025.3335,
4689639193822061184,6.034885293606927,0.09148296133235481,-72.09625994090024,0.05772303732400349,-0.0013740297115207825,0.07818224434987085,13.396777,1.1829815,,,"NOT_AVAILABLE",5003.0,
4689639266845502464,6.005099843384018,0.22811588151385065,-72.09370994461757,0.15336796727721805,-0.6753314471390718,0.15552857966033376,13.509649,0.92313004,,,"NOT_AVAILABLE",5095.6333,
4689639193822068608,6.047786123312674,0.13625019015905662,-72.09879433474522,0.07243836205112529,-0.29937809550485284,0.11345312810665463,12.472069,1.4140482,,,"NOT_AVAILABLE",4499.0,
4689639266844741376,6.021364258343517,0.07217160691330998,-72.08178171514578,0.05154886476600988,0.30301254853531556,0.07688668502438271,11.367639,1.4483328,,,"NOT_AVAILABLE",4777.0,
4689639541716253184,5.988266419012215,0.21238569923101647,-72.07148659319652,0.08932679256597671,,,13.666859,1.0796204,,,"NOT_AVAILABLE",5190.3335,
4689639198126025216,6.012719250915553,5.153913235324684,-72.09698407508293,18.470013243713126,,,14.613216,0.8887768,,,"NOT_AVAILABLE",5095.6333,
4689639193822065920,6.042815352067879,0.045627537784110245,-72.09280442690893,0.03337863474202396,0.23461592773065887,0.04546333131587584,11.75408,1.4763098,,,"NOT_AVAILABLE",4427.64,
4689639507355135232,6.050493715862808,0.1017952945271952,-72.07367967159439,0.11264075465357738,1.3275629304904664,0.19421043055086729,13.711326,0.93252087,,,"NOT_AVAILABLE",5095.6333,
4689639473003168896,6.00660217645992,0.4389278716590946,-72.07951513469301,0.2640168141582339,-2.738307289195429,0.41899895740450066,11.299802,1.5464725,,,"NOT_AVAILABLE",4443.427,
4689639262541543168,6.044194409315831,2.3655739381430227,-72.07803523727941,1.8125904692856627,,,12.026195,1.2361975,,,"NOT_AVAILABLE",5143.45,
4689639198126023424,6.017053970433161,0.15622455547800004,-72.09479880504745,0.139272869713869,,,13.767458,0.93995667,,,"NOT_AVAILABLE",5239.975,
4689639472995344000,6.027486239751193,2.138216526984577,-72.067264128819,37.32563421692198,,,15.2377825,0.89621925,,,"NOT_AVAILABLE",5095.6333,
4689639541723285760,6.018803051492931,25.89852085526387,-72.06830247857113,28.338019097939902,,,15.749707,0.706645,,,"NOT_AVAILABLE",5095.6333,
4689639232475756288,6.076261172361961,12.109739724237654,-72.08299584542637,14.886422445404977,,,16.045868,0.82758045,,,"NOT_AVAILABLE",5095.6333,
4689639301195232768,6.068618342684617,0.92237333701851,-72.08217357329158,0.7854962171876912,,,14.2477455,1.0662937,,,"NOT_AVAILABLE",5095.6333,
4689639301195231872,6.069911993480396,0.197160335225285,-72.08188920465847,0.2531955970184916,,,13.859461,1.108242,,,"NOT_AVAILABLE",5143.45,
4689639301203696000,6.057201333396561,0.13698663151404708,-72.08124436467199,0.15699886275073807,-0.4499947862103234,0.1600297181180098,11.457484,1.563034,-14.89192563466173,1.4268305592626618,"NOT_AVAILABLE",4390.0,
4689639473003122560,6.028186933311872,0.16359289422192266,-72.07391753335352,0.07751247077766249,-0.17594676873505322,0.1326412042202635,11.892015,1.4086809,,,"NOT_AVAILABLE",4592.3223,
4689639503059716096,6.052693798321932,0.10912411139104317,-72.07326501989921,0.07898715683971294,,,13.099075,1.2848101,,,"NOT_AVAILABLE",4993.0,
4689639541722546176,6.017554744266966,18.05350786000918,-72.06724071719793,21.607502148260195,,,14.533095,0.96362686,,,"NOT_AVAILABLE",5095.6333,
4689639301203696768,6.0611600293013375,0.2188096621735557,-72.08362216667696,0.14443180207681822,,,12.603591,1.3329897,,,"NOT_AVAILABLE",4467.5,
4689639296901286400,6.053189061572616,0.053303477896094395,-72.08513067323747,0.07843499197994393,-0.1511887424762547,0.06581429257480567,12.178721,1.3064747,,,"NOT_AVAILABLE",4947.0,
4689639232484220288,6.067938410241226,0.30579359074187923,-72.08497510094165,0.425135253756565,,,15.397978,,,,"NOT_AVAILABLE",,
4689639266845503616,6.0056512784126435,0.07479080348056485,-72.0949120509071,0.041218839393182403,0.1179022999933823,0.06500610689113376,13.6135235,0.9076967,,,"NOT_AVAILABLE",5248.25,
4689639473003162368,6.015878181567341,0.4301004007348723,-72.07907450233743,0.42959709482456426,-0.018367207611427808,0.5538671694258062,11.4460125,1.4170618,,,"NOT_AVAILABLE",4849.0,
4689639266845396608,5.998893586853934,46.767648722940265,-72.08759008707717,0.4827197684136999,,,13.71077,,,,"NOT_AVAILABLE",,
4689639296901285632,6.051212129213677,1.5830949174670035,-72.08105218070187,2.7729663437982066,,,12.497801,1.1482258,,,"NOT_AVAILABLE",5095.6333,
4689639301203689728,6.061599217508697,0.026047885126505303,-72.07902996439107,0.021920571447529357,0.12886372519231215,0.028583038771044806,10.785311,1.8955288,-21.775140154879757,1.65214877152846,"NOT_AVAILABLE",4317.72,
4689639541713358208,5.999327583318249,15.535414295836219,-72.07198686184395,2.6003882855442786,,,13.251807,0.6547699,,,"NOT_AVAILABLE",5095.6333,
4689639473003812864,6.019890295636066,0.5842307079971167,-72.07471939878158,0.6497997743862641,,,12.523414,1.0703707,,,"NOT_AVAILABLE",5095.6333,
4689639541714930304,6.003987681511884,0.2902545777817404,-72.07150774115284,0.3033811529303298,,,13.659258,0.9359398,,,"NOT_AVAILABLE",5095.6333,
4689639193822069504,6.0490488302575365,0.02790533726391711,-72.09443054058363,0.029691716762163218,0.23773499284754357,0.03229932990764825,13.256311,1.1978855,,,"NOT_AVAILABLE",4993.5,
4689639266845827200,6.0293966713089855,2.110054486644352,-72.08077542144694,0.8823508618611158,,,12.691931,,,,"NOT_AVAILABLE",,
4689639301203690496,6.070769719323422,0.44759527661665216,-72.08105289318128,0.27077887766122244,,,13.762565,0.9451122,,,"NOT_AVAILABLE",5190.3335,
4689639507355137280,6.053230094364084,0.22276600524304593,-72.07233914372502,0.2986117482579142,,,14.14945,0.8937979,,,"NOT_AVAILABLE",5095.6333,
4689639541723288576,5.995023115323093,0.19033411329414243,-72.07006458844565,0.2396164332480631,,,15.232062,0.8493662,,,"NOT_AVAILABLE",5095.6333,
