Companion Pulsar,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,dist
J1431-4715,1.63572E+18,Gaia DR2 6098156298150016768,6.09816E+18,1101798337,2015.5,217.935889,0.119072368,-47.2576735,0.124573584,0.636173962,0.167620665,3.795319319,-12.01269464,0.334251611,-14.5062329,0.26276288,4.49718E-05,-0.235644117,-0.426828325,-0.342721522,-0.240849808,-0.415666044,0.164912075,0.139863908,0.137989908,-0.050250143,184,0,184,0,1.019662619,198.2797852,0.27847816,0.846643602,31,FALSE,1.100298166,1.602217148,0.034441142,-0.000475827,21,10,0.306784928,0,23,FALSE,201,1497.907691,4.998138009,299.6931458,17.74965286,19,849.3701154,11.11741411,76.39997101,18.02864647,20,930.4262683,17.63874576,52.74900436,17.34021568,1.188188314,0,0.688430786,0.278993607,0.40943718,,,0,,,,NOT_AVAILABLE,320.0509099,12.25259633,231.5828162,-30.51991355,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+6098156298150016768,3.36485E-05
J1536-4948,1.63572E+18,Gaia DR2 5985598266373074048,5.9856E+18,1389782633,2015.5,234.0969098,0.040122878,-49.81535802,0.028051618,0.098118296,0.0484114,2.026760101,-7.423178499,0.101537013,-4.699922593,0.080899378,-0.05882952,-0.026063964,-0.282420933,-0.088587612,0.041179691,-0.052300699,0.090337068,-0.219526559,-0.028419161,0.040838882,271,0,271,0,-0.665269375,250.3079071,0,0,31,FALSE,7.877763748,1.416154374,0.008934987,0.052513763,31,14,0.099681497,0,31,FALSE,271,6840.016031,3.858734503,1772.606079,16.10072327,29,2235.733909,9.162064737,244.020752,16.97783852,27,6883.267299,11.36064619,605.8869629,15.16743374,1.333184242,0,1.810404778,0.87711525,0.933289528,,,0,,,,NOT_AVAILABLE,328.1983662,4.788779346,244.2198257,-29.53961571,100001,4173.192383,3912,4834.810059,1.177299976,0.87440002,1.825999975,0.591000021,0.416700006,1.057600021,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5985598266373074048,0.000193438
J1543-5149,1.63572E+18,Gaia DR2 5886130706408285696,5.88613E+18,1272101415,2015.5,235.9342218,0.285803481,-51.83190812,0.183500665,0.22604871,0.363708598,0.621510506,-2.09792568,1.024075543,-3.049072729,0.664350954,-0.035773791,0.054994926,-0.035854835,-0.006477057,0.088571064,0.022508387,-0.028499249,0.179770321,-0.223011538,-0.059066691,259,0,256,3,4.162827969,355.4580078,1.224298956,4.000224082,31,FALSE,0.165490106,1.34522804,0.058321944,0.022149691,29,12,0.901396215,0,31,TRUE,271,402.0605338,1.010176249,398.0102844,19.1776371,30,142.5139592,9.955514291,14.31507778,19.96674538,29,637.8845751,12.83095272,49.71451187,17.75006485,1.940997601,0,2.216680527,0.789108276,1.42757225,,,0,,,,NOT_AVAILABLE,327.9206176,2.478819051,246.1346208,-31.17769387,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+5886130706408285696,0.000166176
J1622-0315,1.63572E+18,Gaia DR2 4358428942492430336,4.35843E+18,854346008,2015.5,245.7484467,0.497901962,-3.260352073,0.289673649,0.407935186,0.518876879,0.786188781,-13.05614563,1.04246599,2.957073072,0.680133835,-0.029256165,0.176461339,-0.495681196,-0.619276106,-0.098797962,-0.407794327,0.116955757,-0.414013922,-0.153008237,0.196164966,158,0,156,2,-0.191602603,147.0387878,0,1.63549E-15,31,FALSE,0.173945785,1.571510666,0.090099769,0.044558454,18,9,0.994919002,0,20,FALSE,173,368.6523225,3.589599602,102.7001266,19.27182388,18,187.1261642,9.895364425,18.91048813,19.67105103,18,273.5535519,8.505033573,32.16372299,18.66931343,1.249631882,0,1.001737595,0.399227142,0.602510452,,,0,,,,NOT_AVAILABLE,10.70845631,30.67596703,244.449064,18.05359203,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4358428942492430336,6.93054E-06
J1653-0158,1.63572E+18,Gaia DR2 4379227476242700928,4.37923E+18,1382134536,2015.5,253.4085576,0.761038987,-1.976914732,0.51085997,1.875208799,1.011762666,1.853407741,-19.62447898,1.860097237,-3.743664359,1.119704382,0.01185198,0.118014589,-0.162226945,-0.127299502,-0.130539656,-0.377395242,-0.620380521,-0.054981787,0.346359402,0.370354652,283,0,283,0,1.184717417,306.1698608,0,0,31,FALSE,0.030047281,1.709338492,0.152992511,0.041726388,33,14,1.708834887,0,33,FALSE,284,118.5025978,1.580240323,74.99023438,20.50404549,29,87.62856871,10.52037488,8.329415321,20.49477386,30,103.0073692,7.705904603,13.3673296,19.72974968,1.608706832,0,0.765024185,-0.009271622,0.774295807,,,0,,,,NOT_AVAILABLE,16.61469994,24.93545389,252.2680909,20.44686334,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4379227476242700928,7.94133E-06
J1723-2837,1.63572E+18,Gaia DR2 4059795674516044800,4.0598E+18,399868704,2015.5,260.8465831,0.043766272,-28.63266198,0.038822453,1.076851722,0.054646718,19.70569801,-11.71273854,0.082138734,-23.98961457,0.062026936,0.179587275,-0.239783406,-0.183509678,-0.242086083,-0.515593112,-0.039226003,-0.544331491,-0.220878959,0.385425538,-0.014996163,179,0,179,0,-1.55490005,145.981842,0,0,31,FALSE,13.58999443,1.476994056,0.01008892,0.049996138,20,11,0.079386383,0,20,FALSE,179,11368.59332,46.3487227,245.2838593,15.54909897,17,4580.446687,114.0474822,40.16262817,16.19911766,17,10407.48706,149.1918938,69.75906372,14.71855545,1.31836307,0,1.48056221,0.650018692,0.830543518,,,0,,,,NOT_AVAILABLE,357.6161871,4.260059642,261.937197,-5.449213397,100001,4352,4294.47998,4444,1.394000053,1.251899958,1.610299945,0.709500015,0.624000013,0.78609997,200111,1.280683994,1.228207231,1.315220594,0.530071199,0.471647501,0.588494897,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+4059795674516044800,9.31034E-05
J1816+4510,1.63572E+18,Gaia DR2 2115337192179377792,2.11534E+18,988373269,2015.5,274.1497259,0.129185615,45.17606926,0.150679811,0.220349058,0.153685261,1.433768272,-0.165611845,0.290373131,-4.416537676,0.331753988,-0.078007206,0.005560097,-0.015393844,-0.148542374,0.357037514,-0.184199423,0.023241421,-0.159335718,-0.070820123,-0.033978958,230,0,227,3,3.033709049,291.4560547,0.709800554,3.546849715,31,FALSE,0.494623601,1.719775757,0.037443654,0.106258899,26,16,0.295668274,0,29,FALSE,252,970.5544515,2.16897287,447.4719238,18.22081566,29,766.4655273,10.2389069,74.85813904,18.14015579,28,395.7346689,10.01570662,39.51140594,18.26840973,1.197460055,0,-0.128253937,-0.080659866,-0.04759407,,,0,,,,NOT_AVAILABLE,72.82980357,24.7350062,278.0006812,68.50013141,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2115337192179377792,9.34062E-06
J1955+2908,1.63572E+18,Gaia DR2 2028584968839606784,2.02858E+18,303744199,2015.5,298.8661015,0.125519342,29.14538275,0.165511548,0.603398675,0.194242213,3.106424093,-3.092116051,0.290284591,-7.962991888,0.323202135,-0.112644859,-0.069529802,-0.057907563,-0.028306583,0.296365321,-0.064499639,-0.06650842,-0.121022969,0.075187519,0.006341947,270,0,270,0,2.168489933,317.3704834,0.47689506,1.114126409,31,FALSE,0.390567929,1.271395243,0.041264309,0.013652412,31,16,0.285845011,0,32,FALSE,278,617.3435149,1.12753379,547.5166626,18.71204758,29,104.5870223,6.746678546,15.50200176,20.30269432,27,894.5310539,8.643787502,103.4883194,17.38293076,1.618415117,0,2.919763565,1.590646744,1.329116821,,,0,,,,NOT_AVAILABLE,65.83923509,0.443258817,309.6912993,48.68453764,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2028584968839606784,4.9595E-05
J1959+2048,1.63572E+18,Gaia DR2 1823773960079216896,1.82377E+18,1445722074,2015.5,299.9030957,0.730851023,20.8040236,0.839736876,-0.615592647,1.632482416,-0.377089918,-19.15176348,1.263491669,-23.48261645,1.949858251,-0.101099789,0.490100026,-0.400064588,-0.279651672,-0.560284436,0.134157583,-0.267383993,-0.410965055,-0.182769597,0.09279415,120,0,119,1,-1.058000088,98.15457153,0,0,31,FALSE,0.046343006,1.585919645,0.213311321,0.173719794,14,8,1.774623632,0,14,FALSE,121,143.5430478,3.338183607,43.00034714,20.29590988,3,143.2204069,37.31328903,3.838321686,19.96137619,2,202.2670949,21.37830785,9.461323738,18.99710655,2.406856298,0,0.964269638,-0.334533691,1.298803329,,,0,,,,NOT_AVAILABLE,59.19674185,-4.697477812,307.7354646,40.40627303,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+1823773960079216896,1.05869E-05
J2032+4127,1.63572E+18,Gaia DR2 2067835682818358400,2.06784E+18,1299795722,2015.5,308.0546699,0.022523484,41.45675896,0.030612247,0.693344321,0.033775348,20.52811813,-2.990633025,0.048377469,-0.742054653,0.05528731,-0.062332828,-0.009848249,-0.190972909,-0.049884111,0.452432871,-0.157212317,-0.186354861,-0.251798511,0.070382439,-0.118140511,224,224,213,11,9.261903763,458.7355957,0,3.8677E-15,31,TRUE,433.3285217,1.465131801,0.006950256,-0.04432328,26,14,0.038264025,0,29,FALSE,239,538140.8823,4831.219587,111.3882065,11.36112595,21,204753.878,5998.526292,34.13402939,12.07330799,19,502231.6123,20953.1845,23.96922684,10.50965977,1.313755393,0,1.563648224,0.712182045,0.851466179,,,0,,,,VARIABLE,80.22381504,1.027899142,328.9536287,57.36963719,100001,4321.174805,4174.260254,4561,0.822000027,0.428000003,1.785699964,0.425500005,0.204999998,1.078299999,200111,13.98374367,12.55182838,14.98539162,61.42554092,56.78211212,66.06896973,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2067835682818358400,2.65292E-06
