1     J0002+6216    cwp+17     00:02:58.17      2.0e-02  cwp+17     +62:16:09.4      1.0e-01  cwp+17     *              0  *          *              0  *          55806       cwp+17     218.6              6.0e-01  wcp+18     *       *
2     J0006+1834    cnt96      00:06:04.8       2.0e-01  cn95       +18:34:59        4.0e+00  cn95       *              0  *          *              0  *          49079.50    *          11.41              5.5e-01  bkk+16     *       *
3     J0011+08      dsm+16     00:11:34         1.1e+02  dsm+16     +08:10           8.0e+00  dsm+16     *              0  *          *              0  *          57022.00    *          24.9                     0  dsm+16     *       *
4     J0023+0923    hrm+11     00:23:16.877498  7.0e-06  aab+21a    +09:23:23.8604   2.3e-04  aab+21a    -12.44   7.0e-02  *          -6.16    1.6e-01  *          56845.00    aab+21a    14.328185                0  aab+21a    ELL1    aab+21a 
