Companion Pulsar;source_id;ra;ra_error;dec;dec_error;parallax;parallax_error;pmra;pmra_error;pmdec;pmdec_error;ra_dec_corr;ra_parallax_corr;ra_pmra_corr;ra_pmdec_corr;phot_g_mean_mag;lum_val;lum_percentile_lower;lum_percentile_upper
J0337+1715;44308738051547264;54.43261256251767;0.1845239371108071;17.254116057260628;0.1918838383451133;0.7338431497699165;0.24844438357960064;4.813771407233519;0.4980246734222513;-4.421820461934752;0.42770795176738;0.5134927034378052;-0.19954894483089447;0.10312496870756149;0.12979212403297424;18.07805824279785;;;
J0348+0432;3273288485744249344;57.18183251820651;0.8779727122739752;4.5365162640357894;0.5583704666909439;-1.9966908190208363;1.0218145359643143;3.1484665509895966;2.0598235005985703;-0.10660345290853498;1.4557071172916347;0.19003163278102875;0.0982774943113327;-0.44894203543663025;-0.10632668435573578;20.638673782348633;;;
J0437-4715;4789864076732331648;69.31660276366046;0.5823267561145193;-47.252677775100565;0.7385049917280722;8.325044167789143;0.6777160444632805;122.86372957252419;1.1970176965694457;-71.1659738184934;1.669768175414611;-0.10719864815473557;0.3081701695919037;-0.13529737293720245;0.35696038603782654;20.409374237060547;;;
J1012+5307;851610861391010944;153.13933032772016;0.2411746161183917;53.11726302698828;0.3025464822195802;1.3258787697580965;0.4141931888076408;2.976959985059735;0.5261050442848736;-26.943847578073843;0.6320239529201541;-0.05112169310450554;-0.12657250463962555;-0.012555725872516632;-0.03241099789738655;19.625587463378906;;;
J1023+0038;3831382647922429952;155.94870391839913;0.11823864887667707;0.6446494705314864;0.07299643244403506;0.7283698562939387;0.14258992029243892;4.75094362906205;0.13543937314867746;-17.34771730418718;0.1352578166433457;-0.3909028172492981;-0.8271377086639404;-0.3915659785270691;0.41858336329460144;16.265085220336914;;;
J1048+2339;3990037124929068032;162.1809022193084;0.4748776425929621;23.66483256538812;0.6772548911978881;0.9594338118250679;0.8085094296550144;-16.278987580180008;1.0069234824637998;-11.69679588111939;1.2725590514104264;-0.13338805735111237;-0.28885501623153687;-0.002784349489957094;-0.021140234544873238;19.652612686157227;;;
J1125-6014;5336020987242787328;171.48058793006757;0.44500664553960373;-60.235245301783394;0.344086570224513;-1.0191153338998389;0.5049376090297686;-6.25193382354234;1.0190753054702937;-1.2791132999532482;0.6862437811700741;-0.18139410018920898;-0.12432477623224258;-0.38478928804397583;0.08498851954936981;19.84981918334961;;;
J1227-4853;6128369984328414336;186.99465900987218;0.14612060647414016;-48.89519764514249;0.07897719718677014;0.6237178156490508;0.1679462995140557;-18.725956501217595;0.20724254252330454;7.3878610142760435;0.11573335621818859;0.24092988669872284;-0.6113950610160828;-0.4515306055545807;-0.17371264100074768;18.075824737548828;;;
J1302-6350;5862299960127967488;195.69849083839804;0.02258380131925923;-63.835731214287065;0.023648295286542748;0.4181141036333598;0.030804600666603933;-6.986186051318308;0.043075859322349114;-0.41603310799129634;0.04416742551062321;0.19941934943199158;-0.07441692054271698;-0.38429829478263855;-0.1508229821920395;9.625127792358398;682.5082397460938;602.6296997070312;762.3867797851562
J1417-4402;6096705840454620800;214.37736017580923;0.06142239319743967;-44.04932696430988;0.04675522356539296;0.22097873052788955;0.07156807123463575;-4.699732751059793;0.10175281332098071;-5.100427203422093;0.08779330622025741;0.4230250120162964;-0.6081157922744751;-0.03382583335042;-0.1898602545261383;15.787299156188965;;;
